X	Y	Z	X	Y	Z	X	Y	Z
0.196045	-0.0373535	-1.01172	-0.00482178	-0.00482178	0.00787354	-3450.29	2775	299.707
0.192383	-0.029541	-1.01587	-0.00482178	-0.00549316	0.00775146	-3225.29	3000	74.707
0.191162	-0.029541	-1.01074	-0.00488281	-0.00537109	0.00793457	-3600.29	2775	299.707
0.184082	-0.0302734	-1.02026	-0.00543213	-0.00531006	0.00610352	-3450.29	3075	599.707
0.199463	-0.0258789	-1.0127	-0.00494385	-0.00463867	0.00714111	-3525.29	3000	374.707
0.194336	-0.0300293	-1.00952	-0.00476074	-0.00561523	0.00708008	-3600.29	2925	449.707
0.189453	-0.0305176	-1.00708	-0.00457764	-0.00531006	0.00878906	-3675.29	3000	524.707
0.187988	-0.03125	-1.00879	-0.00482178	-0.0057373	0.00708008	-3675.29	3300	224.707
0.19458	-0.0292969	-1.02368	-0.00506592	-0.00506592	0.00769043	-3225.29	3150	224.707
0.188965	-0.0297852	-1.01782	-0.00616455	-0.00567627	0.00732422	-3525.29	2850	524.707
0.190186	-0.026123	-1.01416	-0.00567627	-0.00561523	0.0067749	-3675.29	3300	524.707
0.197754	-0.0288086	-1.01709	-0.00543213	-0.0055542	0.00891113	-3750.29	2925	749.707
0.192627	-0.0234375	-1.00854	-0.00506592	-0.00579834	0.0078125	-3450.29	3075	599.707
0.186279	-0.0288086	-1.0083	-0.00494385	-0.00494385	0.00738525	-3525.29	3300	524.707
0.188721	-0.0285645	-1.01294	-0.00390625	-0.0065918	0.0078125	-3000.29	3375	299.707
0.193848	-0.029541	-1.01538	-0.00543213	-0.00506592	0.00964355	-3450.29	3225	749.707
0.187988	-0.029541	-1.00806	-0.00543213	-0.00592041	0.00927734	-3225.29	3150	224.707
0.190186	-0.0310059	-1.01831	-0.00476074	-0.00439453	0.00750732	-3525.29	3000	974.707
0.191162	-0.026123	-1.01685	-0.00512695	-0.00622559	0.00695801	-3300.29	2925	299.707
0.196289	-0.0253906	-1.01587	-0.00488281	-0.00585938	0.00640869	-3525.29	2700	524.707
0.193848	-0.029541	-1.01172	-0.0043335	-0.00634766	0.00714111	-3450.29	3225	-0.585938
0.190186	-0.026123	-1.01563	-0.00494385	-0.00445557	0.00762939	-3450.29	2925	149.707
0.192139	-0.0266113	-1.0127	-0.00445557	-0.00665283	0.00848389	-3900.29	2775	449.707
0.193848	-0.0290527	-1.01709	-0.00366211	-0.00494385	0.00891113	-3600.29	2925	299.707
0.196045	-0.0307617	-1.00879	-0.00445557	-0.0055542	0.00769043	-3450.29	2925	749.707
0.187256	-0.0319824	-1.01392	-0.00482178	-0.00543213	0.00994873	-3300.29	3075	149.707
0.195068	-0.0270996	-1.01978	-0.00488281	-0.0045166	0.00842285	-3750.29	2925	449.707
0.197754	-0.0256348	-1.01318	-0.00463867	-0.00524902	0.00726318	-3450.29	3075	149.707
0.187012	-0.0288086	-1.01563	-0.00537109	-0.00469971	0.00689697	-3675.29	2850	824.707
0.186035	-0.0251465	-1.01074	-0.00390625	-0.00604248	0.00689697	-3375.29	3300	524.707
0.191895	-0.0244141	-1.0144	-0.00512695	-0.00518799	0.00744629	-3750.29	3075	599.707
0.19458	-0.0305176	-1.02148	-0.00476074	-0.00695801	0.00689697	-4200.29	3675	599.707
0.185791	-0.0290527	-1.00635	-0.00512695	-0.00500488	0.00622559	-3450.29	2925	599.707
0.196777	-0.0341797	-1.00928	-0.00549316	-0.00518799	0.00701904	-3600.29	2625	749.707
0.195801	-0.0266113	-1.00952	-0.00494385	-0.00579834	0.00842285	-3600.29	3225	749.707
0.197021	-0.0319824	-1.01367	-0.00360107	-0.0065918	0.00811768	-3750.29	2925	149.707
0.178223	-0.0341797	-1.01294	-0.00488281	-0.00543213	0.00683594	-3450.29	3075	449.707
0.189941	-0.0285645	-1.00952	-0.0045166	-0.00616455	0.00793457	-3825.29	2850	524.707
